status,confidence,topic,specificity,cluster_size,promise_text,verbatim_quote,source_date,source_doc_id,reasoning,supporting_evidence
NO_MENTION,high,București/local,high,1,Voi relua lucrările pentru finalizarea proiectului Prelungirea Ghencea – Domnești.,Vom relua lucrările pentru finalizarea proiectului Prelungirea Ghencea – Domnești.,2025-03-28,2025-03-28_vom-relua-lucrarile-pentru-finalizarea-proiectului-prelungir,"Niciuna dintre declarațiile furnizate nu menționează proiectul Prelungirea Ghencea – Domnești sau orice alt proiect de infrastructură rutieră specific Bucureștiului/local. Declarațiile se referă la proiecte energetice (Cernavodă, Tarnița), reforme PNRR sau inițiative generale, fără legătură cu promisiunea.",
KEPT,high,diplomație,high,1,Voi merge la Chișinău cu un mesaj de deschidere și încredere.,Cu acest mesaj de deschidere și încredere voi merge mâine la Chișinău.,2025-03-29,2025-03-29_aderarea-republicii-moldova-la-uniunea-europeana-este-o-prio,"Nicușor Dan a efectuat o vizită la Chișinău după învestire, așa cum a promis. Declarațiile sale confirmă prezența sa acolo și transmiterea unui mesaj de sprijin, îndeplinind astfel promisiunea de campanie.","Stimată doamnă președinte, doamnelor și domnilor, e o mare bucurie să fiu azi la Chișinău. | Mă bucur să mă aflu astăzi la #Chișinău, în prima mea vizită oficială în calitate de Președinte al României. Sunt aici să reconfirm sprijinul cuprinzător, sincer și constant al României pentru Republica Moldova🇲🇩, într-moment crucial al parcursului său european, al consolidării stabilității și rezilienței sale. Mesajul meu pentru cetățenii 🇲🇩 este acesta - Republica Moldova este parte a familiei europene, iar România va fi mereu alături de voi!"
IN_PROGRESS,high,R. Moldova,high,1,"În fiecare vizită oficială în capitalele europene, voi susține, cu argumente solide, obiectivul Guvernului de la Chișinău: aderarea la Uniunea Europeană până în 2030.","În fiecare vizită oficială în capitalele europene, voi susține, cu argumente solide, obiectivul Guvernului de la Chișinău: aderarea la Uniunea Europeană🇪🇺până în 2030.",2025-03-27,2025-03-27_astazi-27-martie-marcam-107-ani-de-la-un-moment-esential-in,"Deși există numeroase declarații care susțin aderarea Republicii Moldova la UE și angajamentul României în acest sens, nu există dovezi concrete că aceste susțineri au fost făcute 'în fiecare vizită oficială în capitalele europene' sau că au inclus 'argumente solide' pentru obiectivul specific al Guvernului de la Chișinău de aderare până în 2030. Declarațiile sunt generale, menționând sprijinul pentru aderare ca un obiectiv important, dar fără a detalia acțiunile specifice promise.","Vom sprijini extinderea Uniunii Europene cu accent pe aderarea Republicii Moldova. | Și pe partea de politică externă, aderarea Republicii Moldova la Uniunea Europeană este un obiectiv important al României și vom continua să acționăm pentru ca Moldova să intre în Uniunea Europeană. | Sprijinul nostru pentru Republica Moldova nu se oprește. Am discutat cu doamna Președinte Maia Sandu și partenerii europeni despre pașii concreți pentru accelerarea procesului de integrare europeană. Locul Republicii Moldova este in marea familie europeană și eforturile României vor continua sustinut în această direcție."
IN_PROGRESS,medium,sănătate,medium,1,"Voi continua să investesc în infrastructură, echipamente medicale și resursă umană în sistemul de sănătate din București, pentru a asigura servicii medicale de înaltă calitate.","De aceea, vom continua să investim în infrastructură, echipamente medicale şi resursă umană, astfel încât bucureștenii și ceilalți pacienți să beneficieze de servicii medicale de înaltă calitate și să aibă posibilitatea de a se trata în țară, în cadrul sistemului de sănătate la care contribuie lunar.",2025-03-29,2025-03-29_primul-transplant-hepatic-din-2025-a-fost-realizat-cu-succes,"Deși promisiunea se referă la București, dovezile indică o preocupare generală pentru investiții în sănătate și infrastructură la nivel național, precum și o mențiune specifică despre necesitatea spitalelor noi și investițiilor în secțiile de terapie intensivă. Nu există dovezi concrete de acțiuni finalizate sau planuri specifice pentru București, dar nici o contradicție directă.","România are nevoie de spitale noi, de investiții reale în secțiile de terapie intensivă și de protocoale ferme de prevenție și control al infecțiilor. | I-am transmis doamnei Mînzatu că, pentru România, este important ca bugetul UE să rămână unul consistent. Avem nevoie de o finanțare cel puțin la nivelul actual pentru a menține ritmul investițiilor în domenii strategice."
IN_PROGRESS,high,R. Moldova,medium,1,Voi prioritiza întărirea relațiilor bilaterale cu Republica Moldova pentru a valorifica potențialul turistic și economic al regiunii.,"În calitate de președinte, voi prioritiza întărirea relațiilor noastre bilaterale, astfel încât să valorificăm la maximum potențialul turistic, dar și cel economic, în beneficiul întregii regiuni.",2025-03-31,2025-03-31_am-vizitat-ieri-la-chisinau-cramele-cricova-un-adevarat-simb,"Declarațiile lui ND menționează în mod repetat prioritizarea relațiilor cu Republica Moldova, sprijinirea parcursului european și consolidarea proiectelor comune în domenii precum infrastructura energetică și de transport, precum și crearea unui fond de garantare. Acestea indică o intenție clară și acțiuni planificate, dar nu confirmă finalizarea sau valorificarea deplină a potențialului turistic și economic, ci mai degrabă pași spre atingerea acestui obiectiv.","În ceea ce privește relația cu Republica Moldova, sprijinirea parcursului său european, consolidarea și extinderea proiectelor comune în domeniul infrastructurii energetice și de transport, crearea fondului de garantare al investițiilor românești în Republica Moldova. | Republica Moldova trebuie să rămână o prioritate. Vom continua să susținem atât eforturile de integrare în uniune, cât și toate chestiunile concrete de care Republica Moldova au nevoie, transport, energie. cooperare economică. | Avem multe proiecte majore care dau consistență tot mai semnificativă relației noastre bilaterale. Astfel, proiectele de interconectare transfrontalieră în domeniile energiei, infrastructurii, transporturilor și rețelelor digitale sunt deosebit de importante pentru a crește gradul de conectare a Republicii Moldova la Uniunea Europeană, prin România."
NO_MENTION,high,București/local,medium,1,"Voi colabora cu organizatorii UNTOLD pentru a asigura desfășurarea festivalului în cele mai bune condiții, respectând normele de siguranță și mediu.","Vom colabora pentru a asigura desfășurarea în cele mai bune condiții, respectând toate normele de siguranță și mediu.",2025-04-03,2025-04-03_am-semnat-astazi-un-protocol-de-colaborare-cu-untold-univers,"Niciuna dintre dovezile furnizate nu menționează în mod specific festivalul UNTOLD, colaborarea cu organizatorii acestuia, sau desfășurarea festivalurilor în general. Deși există mențiuni despre protejarea mediului și siguranță, acestea sunt în contexte generale sau diferite (ex: magistrați, NATO, securitate energetică) și nu pot fi legate direct de promisiunea specifică privind UNTOLD.",
IN_PROGRESS,high,R. Moldova,high,1,"Voi întări relațiile dintre România și Republica Moldova prin schimburi economice, culturale și academice, prin simplificarea birocrației vamale și a procedurilor pentru redobândirea cetățeniei române, și prin crearea unui fond de garantare a investițiilor românești în Republica Moldova.","Relațiile dintre țările noastre trebuie întărite prin schimburi economice, culturale și academice, prin simplificarea birocrației vamale și a procedurilor pentru redobândirea cetățeniei române, dar și prin crearea unui fond de garantare a investițiilor românești în Republica Moldova, pentru noi oportunități de dezvoltare.",2025-03-30,2025-03-30_astazi-am-discutat-cu-sustinatorii-din-chisinau-despre-impor,"Promisiunea este menționată în mod repetat ca un obiectiv important, cu intenția de a crea fondul de garantare, de a continua schimburile și de a funcționaliza instituțiile. Cu toate acestea, dovezile nu indică acțiuni concrete finalizate, ci mai degrabă angajamente și intenții de a acționa.","crearea fondului de garantare al investițiilor românești în Republica Moldova. continuarea schimburilor și extinderea schimburilor culturale și academice și în cele din urmă funcționalizarea acelor instituții care produc dificultăți, vămile și Autoritatea Națională pentru cetățenie. | Am vorbit de asemenea de necesitatea ca ă companiile românești să investească mai mult în Republica Moldova și de acel fond de garantare pe care România îl promite mediului privat de mai mult timp pentru asta, de proiecte de comune de educație care să continue | Republica Moldova este și va rămâne o preocupare importantă pentru România. Vom continua să sprijinim integrarea sa în Uniunea Europeană și o integrare a celor două economii."
IN_PROGRESS,medium,economie,medium,1,Voi aplica la nivel național același angajament și pragmatism pe care le-am folosit pentru a reduce datoriile și a debloca investițiile la Primăria București.,Același angajament și același pragmatism le voi aplica și la nivel național.,2025-04-01,2025-04-01_situatia-financiara-actuala-a-romaniei-este-similara-cu-cea,"Declarațiile lui Nicușor Dan după investitură arată un angajament constant față de disciplina fiscală, reducerea deficitului și atragerea de investiții, în special prin PNRR și fonduri europene. Acestea reflectă o intenție clară de a aplica principii similare celor menționate în promisiune, dar nu oferă dovezi concrete ale unor rezultate finale, cum ar fi 'reducerea datoriilor' sau 'deblocarea investițiilor' la nivel național, ci mai degrabă pași și angajamente în această direcție.","România își păstrează angajamentele pe deficit, își păstrează angajamentele pe obiectivele imediate corelate cu financiarul sfeife și PNRR și direcția procidentală. | Am reafirmat, de asemenea, angajamentul ferm al României de a implementa Planul Național de Redresare și Reziliență și am reiterat concentrarea noastră pe disciplina fiscală, creșterea durabilă și investițiile strategice. | L-am asigurat că există toată determinarea de a face aceste reforme și de a avea stabilitatea politică și predictibilitatea necesare."
NO_MENTION,high,București/local,high,1,"Voi pune la dispoziția directorilor instituțiilor de cultură din subordinea PMB juriști și avocați specializați pentru a-i sprijini în identificarea și accesarea unor surse alternative de finanțare, inclusiv fonduri europene, sponsorizări sau parteneriate public-private.","În acest sens, punem la dispoziția directorilor instituțiilor de cultură din subordinea PMB juriști și avocați specializați, care să îi sprijine în identificarea și accesarea unor surse alternative de finanțare, inclusiv fonduri europene, sponsorizări sau parteneriate public-private.",2025-04-03,2025-04-03_am-avut-astazi-o-intalnire-cu-directori-ai-teatrelor-aflate,"Niciuna dintre dovezile furnizate nu menționează în mod specific punerea la dispoziția directorilor instituțiilor de cultură din subordinea PMB a juriștilor și avocaților specializați pentru a-i sprijini în identificarea și accesarea surselor alternative de finanțare. Deși există mențiuni despre fonduri europene și parteneriate public-private, acestea sunt la un nivel general și nu se leagă direct de promisiunea specifică privind instituțiile de cultură și sprijinul juridic specializat.",
NO_MENTION,high,București/local,high,1,"Voi amenaja pajiști urbane cu flori de câmp sălbatice și în alte zone ale Bucureștiului, similar cu cea din Parcul Tineretului.","În curând, vom amenaja astfel de pajiști urbane și în alte zone ale Bucureștiului.",2025-04-05,2025-04-05_prima-pajiste-urbana-cu-flori-de-camp-salbatice-din-bucurest,"Niciuna dintre dovezile furnizate nu menționează amenajarea de pajiști urbane cu flori de câmp sălbatice sau extinderea celei din Parcul Tineretului în alte zone ale Bucureștiului. Discuțiile se axează pe subiecte precum justiția, locuri vizitate, sau relația București-Paris, fără legătură cu promisiunea.",
IN_PROGRESS,high,NATO/apărare,medium,1,"Voi face totul pentru ca NATO să rămână principalul garant al păcii, stabilității și securității României.","NATO este în continuare, și ca președinte al României voi face totul să rămână așa, principalul garant al păcii, stabilității și securității țării noastre în contextul amenințărilor hibride ale Rusiei împotriva României și statelor europene, precum și al invaziei ilegale a Ucrainei de către Rusia.",2025-04-04,2025-04-04_aniversam-azi-intr-un-context-geopolitic-foarte-complicat-76,"Declarațiile lui Nicușor Dan subliniază angajamentul României față de NATO și rolul său de furnizor de securitate, precum și încrederea în NATO ca garant al apărării. Cu toate acestea, nu există dovezi concrete că NATO a rămas principalul garant al păcii, stabilității și securității României, ci mai degrabă o intenție și o acțiune continuă în acest sens.","Pe partea de securitate, evident, România va fi va continua să fie un aliat al NATO. | România își va îndeplini obligațiile pe care şi le-a asumat și va continua să fie un furnizor de securitate pentru spațiul euroatlantic. Avem aliați şi suntem bine protejați față de orice fel de potențială amenințare. | Avem încredere deplină că NATO și aliații de pe ambele maluri ale Atlanticului sunt angajați să apere fiecare centimetru alanței."
IN_PROGRESS,medium,diaspora,medium,1,"Voi trata diaspora cu respect și atenție, nu doar prin vorbe, ci prin acțiuni concrete și prezență.","ca președinte, voi trata diaspora cu respectul și atenția pe care le merită. Nu doar în discursuri, ci în fapte, în politici, în prezență.",2025-04-05,2025-04-05_interviu-la-radio-romanul-alaturi-de-romanii-din-diaspora-am,"ND menționează întâlniri cu reprezentanți ai diasporei și recunoaște problemele acestora, inclusiv subreprezentarea statului român. De asemenea, vorbește despre necesitatea unei strategii clare pentru colaborarea cu românii din străinătate, indicând că promisiunea este un obiectiv urmărit, dar nu încă finalizat prin acțiuni concrete demonstrate.","nu e prima oară când ne întâlnim cu reprezentanți ai diasporei și bineînțeles că sunt probleme consulare, sunt probleme cu limba română, dar în esență în esență ă reproșurile pe care oamenii din diaspora ni le aduc este că statul român este subrezentat față de așteptările lor. | În ceea ce privește Diaspora, trebuie să lucrăm la o strategie clară, cu obiective, bugete și termene de realizare, astfel încât colaborarea cu românii din străinătate să fie mai eficientă decât în prezent. | Am avut acum de ziua României o discuție cu mai multe asociații ale diasporei."
KEPT,high,justiție electorală,high,1,Voi sesiza autoritățile competente în legătură cu activitatea suspectă asupra conturilor mele de social media.,mâine dimineață vom sesiza și autoritățile competente.,2025-04-15,2025-04-15_activitatea-suspecta-asupra-conturilor-mele-de-social-media,"ND a declarat în repetate rânduri că este în contact cu autoritățile, inclusiv serviciile de informații și parchetele, în legătură cu activitatea suspectă. Aceasta confirmă că a sesizat autoritățile competente, îndeplinind promisiunea.",În momentul acesta sunt în contact cu autoritățile. | Da. Serviciile de informații culeg informații. Da. Controalele le fac reprezentanții ANAF ului și în măsura în care există suspiciuni de infracțiune pot să fie făcute de către parchete. | Și atunci eu cred că este datoria autorităților să intervină și în acest sens ă continuarea acțiunii penale și după momentul retragerii plângerii este o soluție din punctul meu de vedere pe termen scurt.
IN_PROGRESS,medium,legi/reformă instituțională,high,1,"Voi cere publicarea și desecretizarea tuturor documentelor legate de deciziile luate de Victor Ponta în timpul inundațiilor din 2014, pentru ca românii să cunoască baza hotărârii de a inunda satele românești.","De asemenea, îi cer lui Marcel Ciolacu publicarea și desecretizarea tuturor documentelor care stau la baza deciziilor luate de prim-ministrul Victor Ponta în momentul inundațiilor din 2014. Românii au dreptul să cunoască, transparent, pe ce s-a bazat hotărârea lui Victor Ponta de a inunda satele românești de pe malul Dunării.",2025-04-10,2025-04-10_later-edit-steven-seagal-este-emisar-special-al-ministerului,"Deși ND a susținut public demersul de desecretizare a documentelor oficiale și a cerut publicarea datelor relevante, aceste declarații sunt generale și nu se referă specific la documentele legate de deciziile lui Victor Ponta din timpul inundațiilor din 2014. Nu există dovezi concrete că a inițiat acțiuni specifice pentru desecretizarea documentelor menționate în promisiune, ci doar o susținere a principiului transparenței.","Susțin și eu demersul ăsta. Tot ce s a semnat de către oficiali ai statului român să fie făcut public. | Am solicitat instituțiilor responsabile să comunice toate datele relevante pe măsură ce le obțin. Nu putem aștepta ani de zile pentru o anchetă care să se încheie în uitare. Cetățenii României așteaptă adevărul și acțiuni concrete. | pe chestiunea cu vaccinurile, aștept ca actele oficiale semnate de oficiali ai statului român să fie făcute publice, pentru ca societatea în ansamblu să poată să aibă o opinie informată despre cine ce a semnat, cine n-a semnat."
IN_PROGRESS,high,anti-corupție,high,1,Mă voi asigura că procesul de numire a conducerii DNA și DIICOT este bazat pe criterii de integritate și competență profesională.,mă voi asigura că procesul de numire a conducerii acestor instituții este bazat pe criterii de integritate și competență profesională.,2025-04-14,2025-04-14_presedintele-absent-iohannis-si-tandemul-psd-pnl-au-tolerat,"Deși promisiunea se referă la numirea conducerii DNA și DIICOT, dovezile arată o preocupare generală pentru integritate și competență în numirile în funcții publice și în sistemul de justiție. Nu există dovezi concrete că procesul specific de numire a conducerii DNA și DIICOT a fost modificat sau că s-au luat măsuri directe în acest sens, ci mai degrabă declarații de principiu care susțin obiectivele promisiunii.","Trebuie să faci o optimizare între integritate și competență. | Avem nevoie de o cultură a integrității consolidată prin fapte. Acolo unde se administrează resurse publice, indiferent de domeniu, standardele trebuie să fie cele mai înalte, iar răspunderea clară și imediată. | Însă dincolo de această evaluare, este cert că angajările în pozițiile de conducere de la nivelul diferitelor autorități ale statului trebuie să se facă doar în baza criteriilor de competență."
IN_PROGRESS,high,anti-corupție,medium,1,Voi sprijini măsuri pentru a îmbunătăți capacitatea DNA și DIICOT de a investiga și aduce în justiție marea corupție.,Voi sprijini măsuri care să îmbunătățească capacitatea DNA & DIICOT de a investiga și a aduce în justiție marea corupție,2025-04-14,2025-04-14_presedintele-absent-iohannis-si-tandemul-psd-pnl-au-tolerat,"Nicușor Dan a menționat în repetate rânduri importanța combaterii corupției și necesitatea ca DNA și DIICOT să se concentreze pe marea corupție. A inclus lupta anticorupție în Strategia Națională de Apărare și a vorbit despre corectarea mecanismelor legislative, dar nu există dovezi concrete de acțiuni finalizate pentru îmbunătățirea capacității DNA și DIICOT, ci mai degrabă intenții și obiective.","Deci, corupția, fără discuție trebuie să fie un obiectiv și pentru DNA și pentru Parchetul General. | O altă vulnerabilitate, asupra căreia am insistat să fie în Strategie, este corupția, care slăbește coeziunea socială și are consecințe în economie. Am introdus necesitatea abordării integrate referitoare la corupție, în sensul de colaborare între toate instituțiile cu atribuții, precum și implicarea serviciilor de informații în culegerea de date cu privire la acest fenomen, fără amestesc în etapa de cercetare penală și în procesul de justiție. Se impune și corectarea mecanismelor legislative și administrative care întârzie realizarea actului de justiție în materie de corupție, pentru că întârzierea de ani în combaterea unor fenomene este una dintre principalele probleme pe care societatea le reclamă. | În ceea ce privește justiția, este nevoie ca parchetele să se focalizeze pe marile zone de corupție din societate, este nevoie de o reformă a unei instituții fundamentale, Inspecția Judiciară, este nevoie să reducem timpul de soluționare a dosarelor prin măsuri administrative și uneori legislative, este nevoie să redefinim procedurile de promovare a magistraților și este nevoie să reflectăm la legea Curții Constituționale."
IN_PROGRESS,high,educație,medium,1,"Voi susține o reformă profundă a educației, centrată pe respect, echitate și pregătirea pentru viitor.","Ca Președinte, voi susține o reformă profundă a educației, centrată pe respect, echitate și pregătirea pentru viitor.",2025-04-24,2025-04-24_educatia-este-temelia-unei-romanii-puternice-fiecare-copil-d,"ND menționează în repetate rânduri necesitatea unei reforme a educației și a unor schimbări în sistem, inclusiv stimularea gândirii critice și corelarea cu piața muncii. Deși vorbește despre 'schimbarea mentalității' și 'nevoia' de reformă, nu există dovezi concrete de acțiuni finalizate sau în execuție directă a unei reforme profunde, ci mai degrabă intenții și obiective.","Și asta e o chestiune de educație pe care în care trebuie să schimbăm puțin mentalitatea în cuprinsul parcursului educațional, inclusiv a profesorilor. | Dacă vorbim de educație, pentru că ăsta a fost subiectul, ăă Ucraina are o reformă a educației în care în linii mari comasează școli. | În ceea ce privește educația, este nevoie să stimulăm financiar personalul didactic, este nevoie ca în întreg sistemul educațional să stimulăm gândirea critică, este nevoie să corelăm învățământul cu piața muncii, este nevoie să investim în educația timpurie, adică în creșe și grădinițe, și este esențial să prevenim abandonul școlar."
IN_PROGRESS,medium,sănătate,medium,1,"Voi lupta pentru un stat care nu mai închide spitale, ci deschide accesul la tratamente.","Ca Președinte, voi lupta pentru un stat care nu mai închide spitale, ci deschide accesul la tratamente.",2025-04-23,2025-04-23_sanatatea-e-un-drept-fundamental-in-romania-onesta-pe-care-o,"Deși există mențiuni despre îmbunătățirea funcționării statului și a sistemului de sănătate, precum și o cerere pentru un plan de combatere a infecțiilor nosocomiale, nu există dovezi concrete despre deschiderea accesului la tratamente sau despre o luptă activă împotriva închiderii spitalelor. Declarațiile se concentrează mai mult pe eficientizarea statului și pe rezolvarea problemelor existente în sistemul de sănătate, fără a indica acțiuni directe legate de promisiunea specifică.","Cer ministrului Sănătății, în primul rând, și Guvernului în ansamblu, să pună la punct un plan de combatere a infecțiilor nosocomiale din spitalele din România. Este o restanță a sistemului de sănătate care nu mai poate fi amânată. | Mergem înainte cu un angajament ferm pentru un stat mai suplu, mai eficient și mai aproape de oameni."
KEPT,high,legi/reformă instituțională,high,1,"Voi garanta libertatea de exprimare a cetățenilor, organizațiilor neguvernamentale și a societății civile.","„Voi garanta libertatea de exprimare a cetățenilor, organizațiilor neguvernamentale și a societății civile”.",2025-04-24,2025-04-24_am-semnat-astazi-declaratia-universitatii-din-bucuresti-un-a,"Declarațiile lui Nicușor Dan după investitură confirmă angajamentul său față de libertatea de exprimare, menționând respectarea Constituției și a legilor țării, apărarea drepturilor și libertăților fundamentale ale cetățenilor, și recunoașterea protestelor non-violente ca fiind în limitele libertății de exprimare. De asemenea, el subliniază că libertatea de exprimare implică responsabilitate.","Să respect Constituția și legile țării, să apăr democrația, drepturile și libertățile fundamentale ale cetățenilor, suveranitatea, independența, unitatea și integritatea teritorială a României. | Atâta timp cât cât protestele nu sunt violente, orice manifestare este în limitele libertății de exprimare. | Nu, nu. Libertatea de exprimare este a spune ce gândești și cum gândești, dar cu sens de răspundere."
IN_PROGRESS,medium,sănătate,medium,1,"Voi lupta pentru un sistem de sănătate care nu mai umilește pacienții, ci îi respectă.","Pentru un sistem care nu mai umilește pacienții, ci îi respectă.",2025-04-23,2025-04-23_sanatatea-e-un-drept-fundamental-in-romania-onesta-pe-care-o,"Deși există declarații care vizează îmbunătățirea sistemului de sănătate și respectul față de pacienți, acestea se referă la obiective și planuri, nu la acțiuni concrete finalizate care să demonstreze că umilința pacienților a fost eliminată. Se menționează 'creșterea calității și eficienței serviciilor' și 'combaterea infecțiilor nosocomiale' ca 'restanță a sistemului de sănătate care nu mai poate fi amânată', indicând o problemă existentă și o intenție de rezolvare.","Aplicarea acestei legi va crește calitatea și eficiența serviciilor pentru că reforma înseamnă corectitudine, transparență sporită în folosirea fondurilor publice, obiectivul final fiind un act medical mai bun pentru fiecare cetățean. | Cer ministrului Sănătății, în primul rând, și Guvernului în ansamblu, să pună la punct un plan de combatere a infecțiilor nosocomiale din spitalele din România. Este o restanță a sistemului de sănătate care nu mai poate fi amânată."
KEPT,high,diplomație,high,1,"Voi afirma fără echivoc angajamentul pentru apartenența României la Uniunea Europeană și la NATO, precum și pentru Parteneriatul strategic cu SUA.","„Voi afirma fără echivoc angajamentul pentru apartenența României la Uniunea Europeană și la NATO, precum și pentru Parteneriatul strategic cu SUA”.",2025-04-24,2025-04-24_am-semnat-astazi-declaratia-universitatii-din-bucuresti-un-a,"ND a reiterat în mod repetat și fără echivoc angajamentul României față de Uniunea Europeană, NATO și Parteneriatul strategic cu SUA, prin declarații directe și prin menționarea rolului activ al României în aceste structuri. Declarațiile acoperă toate cele trei componente ale promisiunii.","Am reiterat angajamentul ferm al României de a colabora strâns cu instituțiile europene și cu statele membre pentru consolidarea unei Uniuni Europene mai puternice, mai sigure și mai competitive. | De asemenea, România își reafirmă angajamentul pentru cooperarea cu SUA și Uniunea Europeană, bazat pe dialog constant și transparent. | Pe partea de securitate, evident, România va fi va continua să fie un aliat al NATO."
IN_PROGRESS,medium,educație,high,1,"Voi susține neclintit autonomia reală a universităților, atât în planul libertății academice, cât și al unei finanțări adecvate, avansând rolul lor strategic în dezvoltarea societății românești.","„Voi susține neclintit autonomia reală a universităților, în planul libertății academice, dar și al unei finanțări adecvate, avansând rolul lor strategic în dezvoltarea societății românești”.",2025-04-24,2025-04-24_am-semnat-astazi-declaratia-universitatii-din-bucuresti-un-a,"Deși există o mențiune clară a importanței mediului academic și a necesității de a-l integra în deciziile statului, nu există dovezi concrete de acțiuni finalizate privind autonomia reală a universităților sau finanțarea adecvată. Declarațiile se concentrează mai mult pe recunoașterea rolului strategic al universităților, fără a detalia implementarea promisiunii.","Cred cu tărie că mediul academic trebuie să fie mai prezent în marile decizii ale statului, de la buget și politici economice, până la viziunea europeană a României. Este timpul să construim o legătură reală între cercetare, educație și decizia publică."
NO_MENTION,high,justiție electorală,high,1,"Voi participa la toate cele trei dezbateri cu candidații la alegerile prezidențiale organizate de Digi24, TVR și Antena 3.","Voi participa la toate cele trei dezbateri cu candidații la alegerile prezidențiale organizate de Digi24, TVR și Antena 3.",2025-04-28,2025-04-28_voi-participa-la-toate-cele-trei-dezbateri-cu-candidatii-la,"Niciuna dintre dovezile furnizate nu menționează participarea la dezbateri cu candidații la alegerile prezidențiale organizate de Digi24, TVR și Antena 3. Declarațiile se referă la consultări cu partidele, conferințe de presă sau ședințe CSM, dar nu la dezbateri electorale specifice.",
NO_MENTION,high,București/local,high,1,"Voi finaliza Planul Urbanistic General (PUG) al Capitalei până la finalul acestui an, împreună cu Consorțiul condus de Universitatea de Arhitectură și Urbanism „Ion Mincu”, și îl voi propune spre avizare după etapele de consultare publică.","Până la finalul acestui an, din punctul de vedere al Primăriei și al Consorțiului condus de Universitatea de Arhitectură și Urbanism „Ion Mincu”, Planul Urbanistic General va fi finalizat, va trece prin etapele de consultare publică și va fi propus spre avizare.",2025-04-25,2025-04-25_bucurestiul-a-facut-un-pas-important-spre-un-urbanism-respon,"Niciuna dintre declarațiile lui Nicușor Dan nu menționează Planul Urbanistic General (PUG) al Capitalei, finalizarea acestuia, colaborarea cu Universitatea de Arhitectură și Urbanism „Ion Mincu” sau propunerea spre avizare. Deși există referiri la un 'cod urbanistic' sau 'legea urbanismului', acestea par să se refere la legislația națională, nu la PUG-ul specific al Bucureștiului.",
NO_MENTION,high,justiție electorală,high,1,"Voi participa la dezbaterea de la Euronews mâine seară, așteptându-l pe George Simion.",Voi merge mâine seară la Euronews unde îl aștept pe George Simion.,2025-05-07,2025-05-07_eu-sunt-aici-pentru-dezbateri-asa-cum-am-fost-si-in-primul-t,"Niciuna dintre dovezile furnizate nu menționează participarea la o dezbatere la Euronews, așteptându-l pe George Simion, sau topicul specific al justiției electorale. Deși există mențiuni despre 'discuții' sau 'participare', acestea sunt generale și nu se referă la contextul specific al promisiunii.",
IN_PROGRESS,medium,NATO/apărare,medium,1,"Dacă voi fi ales președinte, voi acorda o atenție deosebită structurilor militare și poliției.","Iar dacă voi fi ales președinte, voi acorda o atenție deosebită structurilor militare și poliției.",2025-05-10,2025-05-10_o-tara-care-isi-doreste-sa-fie-sigura-si-in-care-legea-este,"Deși există mențiuni despre siguranța națională, securitate și atribuțiile președintelui în acest domeniu, nu există dovezi concrete de acțiuni specifice sau de 'atenție deosebită' acordată direct structurilor militare și poliției, ci mai degrabă o abordare generală a securității naționale și a instituțiilor statului.","Întăvri statului de drept și lupta anticorupție sunt priorități ale acestui mandat, incluse, după cum știți, în noua strategie națională de Apărare a țării... | O să fie una din preocupările mele pentru că e ă unul din atributele importante ale ale președintelui. | Cu cunoașterea pe care o am în momentul de față, cred că instituțiile, serviciile trebuie să prevină atunci când există un risc la securitate națională."
KEPT,high,justiție electorală,high,1,"Voi accepta toate invitațiile la dezbateri primite pentru săptămâna viitoare, de luni până vineri.","Iar luni, marți, miercuri, joi și vineri, săptămâna viitoare, voi da curs tuturor invitațiilor primite.",2025-05-07,2025-05-07_eu-sunt-aici-pentru-dezbateri-asa-cum-am-fost-si-in-primul-t,"Deși promisiunea se referea la o săptămână specifică ('săptămâna viitoare'), declarațiile lui ND arată o disponibilitate constantă și concretă de a participa la dezbateri și discuții publice, inclusiv invitând activ la acestea și stabilind termene. Acesta a acceptat invitații și a inițiat el însuși discuții, demonstrând respectarea spiritului promisiunii.","Încă o dată, mulțumesc pentru invitație. Sunt convins că o să aveți discuții fructuoase și sunt convins de utilitatea dezbaterilor dumneavoastră. | Este o primă discuție, da? Deci este o dezbatere care ă e util să continue. | Invit toți magistrații care vor să reclame probleme în sistemul de justiție la o discuție fără limită de timp luni, 22 decembrie, începând cu ora 10:00."
KEPT,high,legi/reformă instituțională,medium,1,"Mă angajez să fiu un președinte care apără democrația, drepturile fundamentale și statul de drept.","Promit să fiu un președinte care apără democrația, drepturile fundamentale și statul de drept.",2025-05-22,2025-05-22_astazi-am-primit-validarea-mandatului-de-presedinte-al-roman,"Președintele ND a făcut multiple declarații după învestitură, reafirmând angajamentul său de a apăra democrația, drepturile fundamentale și statul de drept. Aceste declarații includ acțiuni concrete, cum ar fi sesizarea Curții Constituționale și numirea de profesioniști în funcții cheie, demonstrând o implementare activă a promisiunii.","În limitele atribuțiilor mele constituționale, voi acționa pentru apărarea independenței justiției și a statului de drept. Statul de drept nu este negociabil. | Mi-am exercitat rolul constituțional de a veghea la respectarea legii fundamentale și voi continua să intervin ori de câte ori este nevoie pentru ca legislația să respecte Constituția și angajamentele internaționale ale României. | Am ținut ca prin nominalizarea unei personalități recunoscută în domeniul dreptului administrativ și european să îmi reafirm angajamentul față de buna funcționare a autorităților publice, independența justiției și respectarea statului de drept."
